client,available,held,total,locked
1,1,0,1,false
10,1,0,1,false
100,1,0,1,false
1000,1,0,1,false
10000,1,0,1,false
1001,1,0,1,false
1002,1,0,1,false
1003,1,0,1,false
1004,1,0,1,false
1005,1,0,1,false
1006,1,0,1,false
1007,1,0,1,false
1008,1,0,1,false
1009,1,0,1,false
101,1,0,1,false
1010,1,0,1,false
1011,1,0,1,false
1012,1,0,1,false
1013,1,0,1,false
1014,1,0,1,false
1015,1,0,1,false
1016,1,0,1,false
1017,1,0,1,false
1018,1,0,1,false
1019,1,0,1,false
102,1,0,1,false
1020,1,0,1,false
1021,1,0,1,false
1022,1,0,1,false
1023,1,0,1,false
1024,1,0,1,false
1025,1,0,1,false
1026,1,0,1,false
1027,1,0,1,false
1028,1,0,1,false
1029,1,0,1,false
103,1,0,1,false
1030,1,0,1,false
1031,1,0,1,false
1032,1,0,1,false
1033,1,0,1,false
1034,1,0,1,false
1035,1,0,1,false
1036,1,0,1,false
1037,1,0,1,false
1038,1,0,1,false
1039,1,0,1,false
104,1,0,1,false
1040,1,0,1,false
1041,1,0,1,false
1042,1,0,1,false
1043,1,0,1,false
1044,1,0,1,false
1045,1,0,1,false
1046,1,0,1,false
1047,1,0,1,false
1048,1,0,1,false
1049,1,0,1,false
105,1,0,1,false
1050,1,0,1,false
1051,1,0,1,false
1052,1,0,1,false
1053,1,0,1,false
1054,1,0,1,false
1055,1,0,1,false
1056,1,0,1,false
1057,1,0,1,false
1058,1,0,1,false
1059,1,0,1,false
106,1,0,1,false
1060,1,0,1,false
1061,1,0,1,false
1062,1,0,1,false
1063,1,0,1,false
1064,1,0,1,false
1065,1,0,1,false
1066,1,0,1,false
1067,1,0,1,false
1068,1,0,1,false
1069,1,0,1,false
107,1,0,1,false
1070,1,0,1,false
1071,1,0,1,false
1072,1,0,1,false
1073,1,0,1,false
1074,1,0,1,false
1075,1,0,1,false
1076,1,0,1,false
1077,1,0,1,false
1078,1,0,1,false
1079,1,0,1,false
108,1,0,1,false
1080,1,0,1,false
1081,1,0,1,false
1082,1,0,1,false
1083,1,0,1,false
1084,1,0,1,false
1085,1,0,1,false
1086,1,0,1,false
1087,1,0,1,false
1088,1,0,1,false
1089,1,0,1,false
109,1,0,1,false
1090,1,0,1,false
1091,1,0,1,false
1092,1,0,1,false
1093,1,0,1,false
1094,1,0,1,false
1095,1,0,1,false
1096,1,0,1,false
1097,1,0,1,false
1098,1,0,1,false
1099,1,0,1,false
11,1,0,1,false
110,1,0,1,false
1100,1,0,1,false
1101,1,0,1,false
1102,1,0,1,false
1103,1,0,1,false
1104,1,0,1,false
1105,1,0,1,false
1106,1,0,1,false
1107,1,0,1,false
1108,1,0,1,false
1109,1,0,1,false
111,1,0,1,false
1110,1,0,1,false
1111,1,0,1,false
1112,1,0,1,false
1113,1,0,1,false
1114,1,0,1,false
1115,1,0,1,false
1116,1,0,1,false
1117,1,0,1,false
1118,1,0,1,false
1119,1,0,1,false
112,1,0,1,false
1120,1,0,1,false
1121,1,0,1,false
1122,1,0,1,false
1123,1,0,1,false
1124,1,0,1,false
1125,1,0,1,false
1126,1,0,1,false
1127,1,0,1,false
1128,1,0,1,false
1129,1,0,1,false
113,1,0,1,false
1130,1,0,1,false
1131,1,0,1,false
1132,1,0,1,false
1133,1,0,1,false
1134,1,0,1,false
1135,1,0,1,false
1136,1,0,1,false
1137,1,0,1,false
1138,1,0,1,false
1139,1,0,1,false
114,1,0,1,false
1140,1,0,1,false
1141,1,0,1,false
1142,1,0,1,false
1143,1,0,1,false
1144,1,0,1,false
1145,1,0,1,false
1146,1,0,1,false
1147,1,0,1,false
1148,1,0,1,false
1149,1,0,1,false
115,1,0,1,false
1150,1,0,1,false
1151,1,0,1,false
1152,1,0,1,false
1153,1,0,1,false
1154,1,0,1,false
1155,1,0,1,false
1156,1,0,1,false
1157,1,0,1,false
1158,1,0,1,false
1159,1,0,1,false
116,1,0,1,false
1160,1,0,1,false
1161,1,0,1,false
1162,1,0,1,false
1163,1,0,1,false
1164,1,0,1,false
1165,1,0,1,false
1166,1,0,1,false
1167,1,0,1,false
1168,1,0,1,false
1169,1,0,1,false
117,1,0,1,false
1170,1,0,1,false
1171,1,0,1,false
1172,1,0,1,false
1173,1,0,1,false
1174,1,0,1,false
1175,1,0,1,false
1176,1,0,1,false
1177,1,0,1,false
1178,1,0,1,false
1179,1,0,1,false
118,1,0,1,false
1180,1,0,1,false
1181,1,0,1,false
1182,1,0,1,false
1183,1,0,1,false
1184,1,0,1,false
1185,1,0,1,false
1186,1,0,1,false
1187,1,0,1,false
1188,1,0,1,false
1189,1,0,1,false
119,1,0,1,false
1190,1,0,1,false
1191,1,0,1,false
1192,1,0,1,false
1193,1,0,1,false
1194,1,0,1,false
1195,1,0,1,false
1196,1,0,1,false
1197,1,0,1,false
1198,1,0,1,false
1199,1,0,1,false
12,1,0,1,false
120,1,0,1,false
1200,1,0,1,false
1201,1,0,1,false
1202,1,0,1,false
1203,1,0,1,false
1204,1,0,1,false
1205,1,0,1,false
1206,1,0,1,false
1207,1,0,1,false
1208,1,0,1,false
1209,1,0,1,false
121,1,0,1,false
1210,1,0,1,false
1211,1,0,1,false
1212,1,0,1,false
1213,1,0,1,false
1214,1,0,1,false
1215,1,0,1,false
1216,1,0,1,false
1217,1,0,1,false
1218,1,0,1,false
1219,1,0,1,false
122,1,0,1,false
1220,1,0,1,false
1221,1,0,1,false
1222,1,0,1,false
1223,1,0,1,false
1224,1,0,1,false
1225,1,0,1,false
1226,1,0,1,false
1227,1,0,1,false
1228,1,0,1,false
1229,1,0,1,false
123,1,0,1,false
1230,1,0,1,false
1231,1,0,1,false
1232,1,0,1,false
1233,1,0,1,false
1234,1,0,1,false
1235,1,0,1,false
1236,1,0,1,false
1237,1,0,1,false
1238,1,0,1,false
1239,1,0,1,false
124,1,0,1,false
1240,1,0,1,false
1241,1,0,1,false
1242,1,0,1,false
1243,1,0,1,false
1244,1,0,1,false
1245,1,0,1,false
1246,1,0,1,false
1247,1,0,1,false
1248,1,0,1,false
1249,1,0,1,false
125,1,0,1,false
1250,1,0,1,false
1251,1,0,1,false
1252,1,0,1,false
1253,1,0,1,false
1254,1,0,1,false
1255,1,0,1,false
1256,1,0,1,false
1257,1,0,1,false
1258,1,0,1,false
1259,1,0,1,false
126,1,0,1,false
1260,1,0,1,false
1261,1,0,1,false
1262,1,0,1,false
1263,1,0,1,false
1264,1,0,1,false
1265,1,0,1,false
1266,1,0,1,false
1267,1,0,1,false
1268,1,0,1,false
1269,1,0,1,false
127,1,0,1,false
1270,1,0,1,false
1271,1,0,1,false
1272,1,0,1,false
1273,1,0,1,false
1274,1,0,1,false
1275,1,0,1,false
1276,1,0,1,false
1277,1,0,1,false
1278,1,0,1,false
1279,1,0,1,false
128,1,0,1,false
