type,client,tx,amount
deposit,1,1,1
deposit,2,2,1
deposit,3,3,1
deposit,4,4,1
deposit,5,5,1
deposit,6,6,1
deposit,7,7,1
deposit,8,8,1
deposit,9,9,1
deposit,10,10,1
deposit,11,11,1
deposit,12,12,1
deposit,13,13,1
deposit,14,14,1
deposit,15,15,1
deposit,16,16,1
deposit,17,17,1
deposit,18,18,1
deposit,19,19,1
deposit,20,20,1
deposit,21,21,1
deposit,22,22,1
deposit,23,23,1
deposit,24,24,1
deposit,25,25,1
deposit,26,26,1
deposit,27,27,1
deposit,28,28,1
deposit,29,29,1
deposit,30,30,1
deposit,31,31,1
deposit,32,32,1
deposit,33,33,1
deposit,34,34,1
deposit,35,35,1
deposit,36,36,1
deposit,37,37,1
deposit,38,38,1
deposit,39,39,1
deposit,40,40,1
deposit,41,41,1
deposit,42,42,1
deposit,43,43,1
deposit,44,44,1
deposit,45,45,1
deposit,46,46,1
deposit,47,47,1
deposit,48,48,1
deposit,49,49,1
deposit,50,50,1
deposit,51,51,1
deposit,52,52,1
deposit,53,53,1
deposit,54,54,1
deposit,55,55,1
deposit,56,56,1
deposit,57,57,1
deposit,58,58,1
deposit,59,59,1
deposit,60,60,1
deposit,61,61,1
deposit,62,62,1
deposit,63,63,1
deposit,64,64,1
deposit,65,65,1
deposit,66,66,1
deposit,67,67,1
deposit,68,68,1
deposit,69,69,1
deposit,70,70,1
deposit,71,71,1
deposit,72,72,1
deposit,73,73,1
deposit,74,74,1
deposit,75,75,1
deposit,76,76,1
deposit,77,77,1
deposit,78,78,1
deposit,79,79,1
deposit,80,80,1
deposit,81,81,1
deposit,82,82,1
deposit,83,83,1
deposit,84,84,1
deposit,85,85,1
deposit,86,86,1
deposit,87,87,1
deposit,88,88,1
deposit,89,89,1
deposit,90,90,1
deposit,91,91,1
deposit,92,92,1
deposit,93,93,1
deposit,94,94,1
deposit,95,95,1
deposit,96,96,1
deposit,97,97,1
deposit,98,98,1
deposit,99,99,1
deposit,100,100,1
deposit,101,101,1
deposit,102,102,1
deposit,103,103,1
deposit,104,104,1
deposit,105,105,1
deposit,106,106,1
deposit,107,107,1
deposit,108,108,1
deposit,109,109,1
deposit,110,110,1
deposit,111,111,1
deposit,112,112,1
deposit,113,113,1
deposit,114,114,1
deposit,115,115,1
deposit,116,116,1
deposit,117,117,1
deposit,118,118,1
deposit,119,119,1
deposit,120,120,1
deposit,121,121,1
deposit,122,122,1
deposit,123,123,1
deposit,124,124,1
deposit,125,125,1
deposit,126,126,1
deposit,127,127,1
deposit,128,128,1
deposit,129,129,1
deposit,130,130,1
deposit,131,131,1
deposit,132,132,1
deposit,133,133,1
deposit,134,134,1
